UUID,Description 1,Domains,AttributeNameENG,Categories,ACS Definition
17840a96-39af-425d-8409-c1bc7e91d03b,SelfParking:Secured,PROPERTY,Secured parking,"LCS, Parking, PartnerCentral:Parking, Vrbo",Guests park their own vehicle in a facility with security measures
1be6ec44-d3fe-11e9-bb65-2a2ae2dbcce4,Bedroom:ChildBed:Instance8,PROPERTY,Child bed,"FamilyAndChildren, LCS, Vrbo",The eighth bedroom has one or more child-sized beds
586a3315-2df2-4067-a828-372be3341c15,Renovation:SelectRooms,PROPERTY,Select guestrooms,"PartnerCentral:Renovations, Renovation","Select rooms at the property are being renovated, or renovations are planned during an upcoming period"
2c74bb13-148d-47f7-9a2b-86c221657ebd,Soap:BookableUnit,ROOM_UNIT; SPACE,Soap,"LCS, PartnerCentral:BathroomFeatures, StructuredAttributeContent, Vrbo, VrboOnboarding",This bookable unit includes soap in the bathroom for guest use
05f7ab99-d013-43d7-9491-0534a231d35c,Parking:Onsite:ReservationRequired,PROPERTY,Onsite parking,"Parking, PartnerCentral:OtherPolicies, PartnerCentral:Parking",Onsite parking must be reserved in advance
7b6813de-2b90-430f-9b48-e600e8f1a375,Golf:AllInclusiveException,PROPERTY,Golf not included,"AllInclusive, LCS, PartnerCentral:AlllnclusiveActivities",Golf is not included in all-inclusive rate plans
d01f6f3e-2924-4280-b63e-364eba5d1d57,Bathroom,PROPERTY,Bathroom,"Bathroom, LCS, PartnerCentral:BathroomTypes",A room that usually contains a bathtub and/or shower; commonly also includes both a toilet and a sink
72940c7e-b2b5-4003-9d18-6708d81c0978,PropertyPolicy:HolidayClosure:ValentinesDay,PROPERTY,Valentine's Day,"Closure, PartnerCentral:Closures, StayPolicy",Facilities on the property or the entire property are closed for Valentine's Day
e27c9c90-ae94-4aed-b352-1f4e7b2e3ca1,AccessibleFeatures,LODGING_UNDEFINED,AccessibleFeatures,Accessibility,Indications of features present or absent at the property that would aid persons with accessibility needs
aab2cc63-7fc8-43ec-952a-5a5c75058406,LowHeightDesk:BookableUnit,ROOM_UNIT,Low-height desk,"Accessibility, LCS, PartnerCentral:Accessibility, StructuredAttributeContent",This bookable unit has lowered desks that can be accessed by someone who uses a wheelchair
9f4f9446-4924-11ea-b77f-2e728ce88125,Towels:LaundryService:BookableUnit,ROOM_UNIT,Change of towels,"Housekeeping, PartnerCentral:Housekeeping",Towels are laundered and/or replaced for this bookable unit
aaadfca8-0bba-11ea-8d71-362b9e155667,xBancomer,PROPERTY,Bancomer,null,"Deprecated attribute, this payment method is no longer active, CAM-120; Base attribute: Bancomer"
c0a0cf28-5eb6-4284-8bfc-6faf66c5bd5c,Fireplace:UnknownAvailability,PROPERTY,Fireplace - no,PartnerCentral:RoomLayout,Unknown whether the bookable units at this property have fireplaces
907ce413-eb87-4f89-a731-6d4c29db68e6,RyokanOnsen:Outdoor:Private:Shared,PROPERTY,Outdoor private mineral hot springs (Japanese-style onsen) in communal space,"LCS, PartnerCentral:RyokanFacilities, Ryokan, SearchFilter:HotSprings, StructuredAttributeContent",There is a private outdoor onsen available to guests at this ryokan property
81ebfce0-a01a-4cde-984a-46f2fe5d6b0e,BoatTours:NearbyLocation,PROPERTY,Boat tours nearby,"AdventureActivity, ContentScore, LCS, Location, PartnerCentral:WaterBasedActivities, StructuredAttributeContent, WaterBasedActivity",There are boat tours available within a 15-minute travel time from the property
60ab51aa-54d5-11ea-a2e3-2e728ce88125,PoolHoist,PROPERTY,Pool hoist on site,"Accessibility, LCS, PartnerCentral:Accessibility, Pool, WaterBasedActivity",An hoist is available to allow guests with mobility issue to enter the pool
22fd7fe7-6a2d-4551-8295-70840cf3054c,BuffetBreakfast:Buy1Get1Free:ValueAdd,RATE_PLAN,2-for-1 buffet,"Breakfast, BusinessRates, Dining, FoodAndBeverage, LCS, RatePlan, StandardValueAdd, ValueAdd",This rate plan includes a second buffet breakfast (counter or long table with a variety of food for informal eating) when a guest purchases one buffet breakfast
6c15731f-84fd-4470-8ba0-0845461870ce,Housekeeping:Once,PROPERTY,Housekeeping - once per stay,"Housekeeping, LCS, PartnerCentral:Housekeeping, StructuredAttributeContent","Housekeeping is provided once per stay for all units
"
d69c5d16-67e9-48c2-b356-6daffd6271d1,RyokanBathing,LODGING_UNDEFINED,Ryokan bathing,"PartnerCentral:RyokanFacilities, Ryokan",Broader concept for ryokan bathing attributes
